cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank
QASYUH_clean,Zn,Unmodified,0,1111.06,1.427591669216784,4.62458,0.396535,0.5442,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.24745602805093,2482,434
UGUQOC_charged,Zn,Unmodified,0,1112.3,1.6478539962240402,5.44159,0.458227,0.547,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2483,435
IXUREZ_clean,Zn,Unmodified,0,1186.23,1.5934650110012392,5.49131,0.472554,0.5526,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2484,435
PANYOU_charged,Zn,Unmodified,0,1077.42,1.7051920328191417,5.36231,0.459302,0.5298,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2485,435
CUTFII_clean,Zn,Unmodified,0,1070.86,1.6995947182638256,4.31265,0.455007,0.5288,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2486,435
VUKSIF_clean,Zn,Unmodified,0,1126.59,1.6305239705660446,5.75842,0.459233,0.5766,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2487,435
LIRNOR_clean,Zn,Unmodified,0,1120.75,1.6413901405308944,5.98787,0.459897,0.5214,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2488,435
NEBNOZ_clean,Zn,Unmodified,0,1096.06,1.662025801507217,6.01321,0.45542,0.5186,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2489,435
EREFEN01_SL,Zn,Unmodified,0,1104.07,1.705627360584021,5.00416,0.470783,0.5352,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.246488745886566,2490,435
YEYDAJ_clean,Zr,Unmodified,0,1776.32,1.5599126283552514,14.77804,0.692726,0.652,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,62.236343246113535,2491,37
SADLEQ_clean,Nd,Unmodified,0,1002.44,1.5117593072902116,7.11187,0.378862,0.5702,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.21065373286329,2492,83
TUQWIL_clean,Zn,Unmodified,0,979.613,1.7687842035579355,5.32706,0.433181,0.6154,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,62.19360773169989,2493,436
VATYIZ_clean,Nd,Unmodified,0,1342.53,1.2148555339545486,5.77973,0.407745,0.6162,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,62.1754307063181,2494,84
